YEAR,MONTH,DAY,STID,TMAX,TMIN,TAVG,HAVG,RAIN,RMAX
2023,4,17,ADAX,78.85,35.62,60.72,51.46,0,0
2023,4,18,ADAX,78.84,54.68,66.05,62.2,0,0
2023,4,19,ADAX,79.52,61.21,70.1,74.54,0,0
2023,4,20,ADAX,73.47,48.45,65.28,61.47,0.02,0.12
2023,4,21,ADAX,72.34,41.27,56.32,54.57,0,0
2023,4,22,ADAX,58.48,39.02,48.31,63.21,0.1,0.12
2023,4,23,ADAX,64.67,38.23,51.27,64.73,0.02,0.12
2023,4,24,ADAX,65.1,32.85,51.88,65.66,0.01,0.12
2023,4,25,ADAX,55.08,47.93,51.03,84.56,1.03,2.76
2023,4,26,ADAX,57.36,49.57,53.58,94.4,1.33,1.2
2023,4,27,ADAX,61.05,53.8,56.07,90.51,0.11,0.24
2023,4,28,ADAX,62.08,45.1,54.44,86.23,0.09,0.24
2023,4,29,ADAX,69.03,48.94,57.57,62.93,0,0
2023,4,30,ADAX,71.02,43.36,57.14,62.36,0,0
2023,5,1,ADAX,70.83,38.12,54.92,62.11,0,0
2023,5,2,ADAX,75.07,42.13,59.15,65.53,0,0
2023,5,3,ADAX,68.4,45.37,57.06,70.24,0.01,0.12
2023,5,4,ADAX,66.4,52.97,59.99,85.54,0.13,0.24
2023,5,5,ADAX,83.68,62.44,72.31,87.34,0,0
2023,5,6,ADAX,87.96,62.91,76.95,73.64,0.16,0.24
2023,5,7,ADAX,81.82,63.63,73.55,76.27,0,0
2023,5,8,ADAX,87.31,66.15,75.92,72.57,0,0
2023,5,9,ADAX,84.56,68.74,75.31,81.22,0,0
2023,5,10,ADAX,81.97,63.5,71.44,83.74,0.04,0.12
2023,5,11,ADAX,81.01,64.58,71.08,86.66,0.19,1.2
2023,5,12,ADAX,85.08,67.42,75.69,85.56,0,0
2023,5,13,ADAX,85.06,61.45,72.43,82.09,0.35,1.2
2023,5,15,ADAX,79.2,63.75,70.79,88.67,0.29,1.08
2023,5,16,ADAX,69.55,54.07,63.42,82.41,0,0
2023,5,17,ADAX,73.29,53.87,63.45,84.01,0,0
2023,5,18,ADAX,77.36,55.81,67.15,83.54,0.05,0.24
2023,5,19,ADAX,82.98,58.17,70,83.14,0.23,0.72
2023,5,20,ADAX,72.86,52.36,61.53,72.07,0,0
2023,5,21,ADAX,72.93,49.21,61.57,79.05,0,0
2023,5,22,ADAX,78.26,50.34,64.97,76.62,0,0
2023,5,23,ADAX,80.94,56.34,68.26,75.57,0,0
2023,5,24,ADAX,81.9,60.73,69.64,79.57,0,0
2023,5,25,ADAX,80.44,59.02,69.92,77.22,0,0
2023,5,26,ADAX,85.89,63.41,73.38,68.2,0,0
2023,5,27,ADAX,83.23,62.28,72.06,64.83,0,0
2023,5,28,ADAX,83.66,61.18,70.7,73.52,0,0
2023,5,29,ADAX,84.02,63.77,70.19,83.48,0.69,2.04
2023,5,30,ADAX,84.09,59.86,72.27,80.91,0.01,0.12
2023,5,31,ADAX,87.66,61.74,76.04,71.08,0,0
2023,6,1,ADAX,87.4,67.71,76.6,66.23,0,0
2023,6,2,ADAX,89.04,63.77,77.81,65.12,0,0
2023,6,3,ADAX,82.78,61.79,68.85,89.32,1.84,4.32
2023,6,4,ADAX,78.89,60.91,69.59,89.01,0.02,0.12
2023,6,5,ADAX,88.48,61.66,74.23,70.52,0,0
2023,6,6,ADAX,88.11,61.88,74.78,68.64,0,0
2023,6,7,ADAX,88.65,61.02,75.35,67.95,0,0
2023,6,8,ADAX,88.93,61.75,74.41,73.86,0,0
2023,6,9,ADAX,91.99,63.82,79.42,69.04,0,0
2023,6,10,ADAX,85.87,64.99,74.7,77.45,0.41,2.76
2023,6,11,ADAX,91.38,64.72,77.63,72.71,0,0
2023,6,13,ADAX,81.27,59.22,70.92,84.74,0,0
2023,6,14,ADAX,87.49,65.48,76.56,76.35,0,0
2023,6,15,ADAX,90.5,61.18,75.15,75.79,0.36,1.08
2023,6,16,ADAX,84.42,64.17,72.76,80.18,0,0
2023,6,17,ADAX,86.72,62.71,75.83,77.23,0.02,0.12
2023,6,19,ADAX,90.07,62.56,78.58,70.07,0,0
2023,6,20,ADAX,94.15,74.64,83.36,72.86,0,0
2023,6,21,ADAX,86.11,71.17,79.15,74.92,0,0
2023,6,22,ADAX,89.82,67.68,79.21,74.92,0,0
2023,6,23,ADAX,86.88,67.08,75.46,83.55,0.6,1.32
2023,6,24,ADAX,94.57,69.57,81.49,76.25,0,0
2023,6,25,ADAX,95.52,73.44,84.82,75.76,0,0
2023,6,26,ADAX,90.79,75,82.4,65.01,0,0
2023,6,27,ADAX,91.29,74.17,82.1,73.97,0,0
2023,6,28,ADAX,94.71,75.99,85.3,72.95,0,0
2023,6,29,ADAX,98.4,73.96,86.44,64.17,0,0
2023,6,30,ADAX,95.65,76.01,85.24,60.84,0,0
2023,7,1,ADAX,88.9,75.22,81.59,67.15,0,0
2023,7,2,ADAX,93.72,70.39,80.83,67.23,0,0
2023,7,3,ADAX,91.9,69.1,75.63,82.28,0.59,1.08
2023,7,5,ADAX,91.4,73.11,80.43,74.42,0,0
2023,7,6,ADAX,88.95,70.99,76.97,80.76,0.02,0.12
2023,7,7,ADAX,82.51,67.93,74.75,86.51,0.54,2.28
2023,7,8,ADAX,90.68,69.1,78.27,78.03,0.14,0.24
2023,7,9,ADAX,84.25,66.92,73.97,84.45,1.35,2.04
2023,7,10,ADAX,88.43,64.89,77.26,81.08,0,0
2023,7,11,ADAX,87.94,69.51,78.16,83.66,2.7,2.76
2023,7,12,ADAX,95.31,75,84.76,77.75,0,0
2023,7,13,ADAX,95.18,77.68,86.04,77.14,0.08,0.24
2023,7,14,ADAX,91.22,76.14,82.88,82.65,0,0
2023,7,15,ADAX,86.23,69.75,77.32,85.25,0.01,0.12
2023,7,16,ADAX,87.85,66.76,76.78,80.94,0,0
2023,7,17,ADAX,91.74,70.48,81.74,78.96,0,0
2023,7,18,ADAX,98.47,80.76,88.63,54.51,0,0
2023,7,19,ADAX,96.75,79.7,86.63,62.74,0,0
2023,7,20,ADAX,96.06,76.53,85.45,69.71,0,0
2023,7,21,ADAX,85.23,68.77,78.56,79.46,0,0
2023,7,22,ADAX,87.62,63.77,74.69,74.22,0,0
2023,7,23,ADAX,92.57,61.92,78.6,67.32,0,0
2023,7,24,ADAX,94.8,68.09,82.74,63.47,0,0
2023,7,25,ADAX,97.97,70.84,85.56,59.15,0,0
2023,7,26,ADAX,97.7,76.15,86.73,55.23,0,0
2023,7,27,ADAX,97.14,76.21,85.78,57.49,0,0
2023,7,28,ADAX,97.27,73.69,86.04,56.08,0,0
2023,7,29,ADAX,98.74,76.23,86.96,55.34,0,0
2023,7,30,ADAX,99.61,70.25,86.5,57.29,0,0
2023,7,31,ADAX,99.59,71.67,85.18,65.93,0,0
2023,8,1,ADAX,102.15,77.77,88.6,61.92,0,0
2023,8,2,ADAX,103.84,78.39,89.51,55.34,0,0
2023,8,3,ADAX,103.42,82.08,91.58,42.75,0,0
2023,8,4,ADAX,104.23,80.96,91.49,49.3,0,0
2023,8,5,ADAX,96.53,77.94,87.08,53.42,0,0
2023,8,6,ADAX,96.19,69.13,81.82,70.59,0.44,1.32
2023,8,7,ADAX,86.49,71.42,78.04,70.2,0,0
2023,8,8,ADAX,87.12,69.17,77.82,72.02,0,0
2023,8,9,ADAX,93.07,73.98,81.86,76.58,0,0
2023,8,10,ADAX,96.93,72.41,83.67,72.29,0,0
2023,8,11,ADAX,103.98,77.22,89.6,60.8,0,0
2023,8,12,ADAX,101.68,76.64,85.38,62.79,0.02,0.12
2023,8,13,ADAX,103.98,72.66,88.81,58.04,0,0
2023,8,14,ADAX,88.7,64.72,75.88,68.35,0,0
2023,8,15,ADAX,88.39,58.03,72.85,66.08,0,0
2023,8,16,ADAX,91.98,55.54,75.8,57.92,0,0
2023,8,17,ADAX,105.06,68.45,84.19,53.78,0,0
2023,8,18,ADAX,106.3,69.21,86.44,60.4,0,0
2023,8,19,ADAX,108.43,71.49,92.05,41.86,0,0
2023,8,20,ADAX,107.65,71.08,89.26,53.83,0,0
2023,8,21,ADAX,106.2,71.78,87.99,64.22,0,0
2023,8,22,ADAX,103.51,76.26,89.06,58.31,0,0
2023,8,23,ADAX,102.61,73.71,87.76,59.96,0,0
2023,8,24,ADAX,104,75.61,89.01,54.25,0,0
2023,8,25,ADAX,105.91,77.45,90.64,49.96,0,0
2023,8,26,ADAX,106.97,74.82,87.76,56.84,0.01,0.12
2023,8,27,ADAX,91.96,71.28,81.73,65.88,0,0
2023,8,28,ADAX,89.37,61.72,74.81,64.83,0,0
2023,8,29,ADAX,93.69,61.99,76.95,63.74,0,0
2023,8,30,ADAX,93.61,62.13,77.09,63.09,0,0
2023,8,31,ADAX,94.33,61.25,77.79,61.47,0,0
2023,9,1,ADAX,95.63,68.61,79.94,51.77,0,0
2023,9,2,ADAX,95.05,66.29,81.25,46.76,0,0
2023,9,3,ADAX,100.31,72.03,84.47,51.96,0,0
2023,9,5,ADAX,103.89,73.92,87.81,55.92,0,0
2023,9,6,ADAX,95,67.78,80.14,55.73,0.15,1.44
2023,9,7,ADAX,104.77,64.83,84.29,52.88,0,0
2023,9,8,ADAX,102,74.61,85.15,62.4,0,0
2023,9,9,ADAX,93.61,63.09,77.9,61.24,0,0
2023,9,10,ADAX,93.31,56.28,74.25,55.41,0,0
2023,9,11,ADAX,81.19,65.19,71.04,70.69,0.15,0.24
2023,9,12,ADAX,71.24,63.95,66.73,91.01,0.24,0.36
2023,9,13,ADAX,79.14,62.31,69.72,82.91,0,0
2023,9,14,ADAX,70.74,64.18,67.73,88.15,0.41,0.36
2023,9,15,ADAX,83.17,63.16,71.47,68.58,0,0
2023,9,16,ADAX,84.36,59.86,70.63,72.03,0,0
2023,9,17,ADAX,89.73,55.81,70.08,70.11,0,0
2023,9,18,ADAX,92.46,53.94,74.79,52.94,0,0
2023,9,19,ADAX,84.07,64.76,73.2,65.92,0.33,2.04
2023,9,20,ADAX,83.48,67.46,75.66,68.03,0.02,0.12
2023,9,21,ADAX,87.53,67.06,73.85,79.22,0.18,1.32
2023,9,22,ADAX,80.44,68.85,73.57,82.27,0,0
2023,9,23,ADAX,95.95,68.07,81.26,70.7,0,0
2023,9,24,ADAX,86,68.61,75.54,83,0,0
2023,9,25,ADAX,90.52,62.1,74.29,75.42,0,0
2023,9,26,ADAX,93.27,56.28,75.47,59.76,0,0
2023,9,27,ADAX,93.61,59.38,77.53,57.63,0,0
2023,9,28,ADAX,95.77,62.96,79.89,55.48,0,0
2023,9,29,ADAX,95.13,70.77,81.49,56.52,0,0
2023,9,30,ADAX,94.48,68.02,79.89,57.85,0,0
2023,10,1,ADAX,91.96,59.76,76.65,57.16,0,0
2023,10,2,ADAX,90.91,65.03,77.61,52.26,0,0
2023,10,3,ADAX,89.46,68.85,77.69,51.47,0,0
2023,10,4,ADAX,90.37,67.12,73.9,77.57,1.68,3.48
2023,10,5,ADAX,81.82,59,69.48,82.32,0,0
2023,10,6,ADAX,81.28,52.59,63.77,59.31,0,0
2023,10,7,ADAX,68.09,43.75,54.35,55.13,0,0
2023,10,8,ADAX,78.33,41.36,60.64,57.27,0,0
2023,10,9,ADAX,86.41,51.94,69.55,55.88,0,0
2023,10,10,ADAX,87.24,52.47,69.77,68.84,0,0
2023,10,11,ADAX,78.91,62.78,69.15,75.12,0,0
2023,10,12,ADAX,69.21,60.04,64.89,81.77,0,0
2023,10,13,ADAX,72.1,53.62,65.43,56.27,0,0
2023,10,14,ADAX,65.34,46.51,54.68,59.23,0,0
2023,10,15,ADAX,59.63,41.06,52.4,69.52,0,0
2023,10,16,ADAX,64.44,37.62,48.97,68.63,0,0
2023,10,17,ADAX,74.17,33.85,55.29,58.63,0,0
2023,10,18,ADAX,81.12,49.39,63.49,54.4,0,0
2023,10,19,ADAX,83.66,43.9,62.22,58.83,0,0
2023,10,20,ADAX,89.37,49.93,67.85,49.18,0,0
2023,10,21,ADAX,89.15,50.18,70.37,52.59,0,0
2023,10,22,ADAX,81.75,55.02,68.23,67.94,0,0
2023,10,23,ADAX,76.51,62.92,69.11,86.08,0.17,0.72
2023,10,24,ADAX,72.25,66.18,68.27,95.62,0.72,0.36
2023,10,25,ADAX,73.27,65.08,68.56,93.76,0.5,0.48
2023,10,26,ADAX,80.01,66.45,71.25,85.62,0,0
2023,10,27,ADAX,75.36,52.34,62.78,87.1,0.4,1.2
2023,11,4,ADAX,76.71,49.69,61.89,71.88,0,0
2023,11,5,ADAX,80.62,56.21,66.49,72.24,0,0
